Name,Date,Location,Type,Region,Weather
Brody Schenk,6/17/2024,Funhouse,Music,Capitol Hill / Central District,"A slight chance of rain showers. Mostly cloudy, with a high near 65. South southwest wind 3 to 8 mph. Chance of precipitation is 20%."
Madaraka Festival,6/17/2024,The Neptune Theatre,Music,University District,"A slight chance of rain showers. Mostly cloudy, with a high near 65. South southwest wind 5 to 8 mph. Chance of precipitation is 20%."
Rae,6/17/2024,Tractor Tavern,Music,Fremont / Ballard,"A slight chance of rain showers. Mostly cloudy, with a high near 63. South southwest wind 5 to 9 mph. Chance of precipitation is 20%."
Rena Priest – Writing as Refuge,6/17/2024,Bainbridge Island Museum of Art,Museums,West,"A chance of rain showers. Cloudy, with a low around 50. South wind around 5 mph. Chance of precipitation is 30%."
Ryan Stradal,6/17/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A slight chance of rain showers. Mostly cloudy, with a high near 64. South southwest wind 3 to 9 mph. Chance of precipitation is 20%."
Say Anything,6/17/2024,Showbox SoDo,Music,Pioneer Square,"A slight chance of rain showers. Mostly cloudy, with a high near 64. South southwest wind around 7 mph. Chance of precipitation is 20%."
Semisoft,6/17/2024,Sunset Tavern,Music,Fremont / Ballard,"A slight chance of rain showers. Mostly cloudy, with a high near 64. South southwest wind 5 to 8 mph. Chance of precipitation is 20%."
Artillery,6/18/2024,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 68. West northwest wind 1 to 8 mph."
Bands for Boats,6/18/2024,Tractor Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 68. West northwest wind 1 to 8 mph."
Boulet Brothers’ Dragula: Season 5 Tour,6/18/2024,The Moore Theatre,Theatre,Downtown,"Partly sunny, with a high near 66. West wind 2 to 8 mph."
Every Outfit Podcast,6/18/2024,The Triple Door,Theatre,Downtown,"Partly sunny, with a high near 68. Northwest wind 1 to 8 mph."
Foleada,6/18/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Partly sunny, with a high near 66. West wind 2 to 8 mph."
From Mendelssohn to Milhaud,6/18/2024,Benaroya Hall,Music,Downtown,"Partly sunny, with a high near 68. West northwest wind 1 to 8 mph."
Khushbu Shah with Lauren Ko,6/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Partly sunny, with a high near 68. West northwest wind 2 to 8 mph."
Lucy,6/18/2024,El Corazon,Music,Downtown,"Partly sunny, with a high near 68. West northwest wind 2 to 8 mph."
